"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	624	5073171	12.3
	"Alaska"	"02"	41	732143	5.6
	"Arizona"	"04"	490	7313433	6.7
	"Arkansas"	"05"	290	3052632	9.5
	"California"	"06"	1676	38976744	4.3
	"Colorado"	"08"	304	5846154	5.2
	"Connecticut"	"09"	114	3562500	3.2
	"Delaware"	"10"	48	1021277	4.7
	"District of Columbia"	"11"	141	671429	21
	"Florida"	"12"	1170	22075472	5.3
	"Georgia"	"13"	1033	10873684	9.5
	"Hawaii"	"15"	18	1384615	1.3
	"Idaho"	"16"	38	1900000	2
	"Illinois"	"17"	1091	12540230	8.7
	"Indiana"	"18"	468	6882353	6.8
	"Iowa"	"19"	65	3250000	2
	"Kansas"	"20"	127	2953488	4.3
	"Kentucky"	"21"	283	4492063	6.3
	"Louisiana"	"22"	740	4596273	16.1
	"Maine"	"23"	19	1357143	1.4
	"Maryland"	"24"	539	6195402	8.7
	"Massachusetts"	"25"	106	7066667	1.5
	"Michigan"	"26"	640	1e+07	6.4
	"Minnesota"	"27"	143	5720000	2.5
	"Mississippi"	"28"	511	2936782	17.4
	"Missouri"	"29"	629	6166667	10.2
	"Montana"	"30"	39	1114286	3.5
	"Nebraska"	"31"	48	2e+06	2.4
	"Nevada"	"32"	180	3157895	5.7
	"New Hampshire"	"33"	18	1384615	1.3
	"New Jersey"	"34"	235	9400000	2.5
	"New Mexico"	"35"	218	2116505	10.3
	"New York"	"36"	528	19555556	2.7
	"North Carolina"	"37"	781	10698630	7.3
	"North Dakota"	"38"	17	772727	2.2
	"Ohio"	"39"	738	11714286	6.3
	"Oklahoma"	"40"	240	4e+06	6
	"Oregon"	"41"	155	4189189	3.7
	"Pennsylvania"	"42"	834	13031250	6.4
	"Rhode Island"	"44"	14	1076923	1.3
	"South Carolina"	"45"	494	5255319	9.4
	"South Dakota"	"46"	27	9e+05	3
	"Tennessee"	"47"	609	7081395	8.6
	"Texas"	"48"	1826	29934426	6.1
	"Utah"	"49"	48	3428571	1.4
	"Vermont"	"50"	13	650000	2
	"Virginia"	"51"	556	8687500	6.4
	"Washington"	"53"	313	7825000	4
	"West Virginia"	"54"	81	1760870	4.6
	"Wisconsin"	"55"	277	5893617	4.7
	"Wyoming"	"56"	14	583333	2.4
