"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	253	735465	34.4
	"Arizona"	"04"	2604	7273743	35.8
	"Arkansas"	"05"	592	3035897	19.5
	"California"	"06"	10476	39089552	26.8
	"Colorado"	"08"	1715	5813559	29.5
	"Connecticut"	"09"	1473	3601467	40.9
	"Delaware"	"10"	503	1003992	50.1
	"District of Columbia"	"11"	445	669173	66.5
	"Florida"	"12"	7477	21862573	34.2
	"Georgia"	"13"	2380	10769231	22.1
	"Hawaii"	"15"	249	1447674	17.2
	"Idaho"	"16"	329	1901734	17.3
	"Illinois"	"17"	3585	12712766	28.2
	"Indiana"	"18"	2718	6812030	39.9
	"Iowa"	"19"	426	3203008	13.3
	"Kansas"	"20"	634	2935185	21.6
	"Kentucky"	"21"	2332	4510638	51.7
	"Louisiana"	"22"	2419	4625239	52.3
	"Maine"	"23"	592	1379953	42.9
	"Maryland"	"24"	2679	6172811	43.4
	"Massachusetts"	"25"	2493	6983193	35.7
	"Michigan"	"26"	2940	10034130	29.3
	"Minnesota"	"27"	1270	5720721	22.2
	"Mississippi"	"28"	771	2954023	26.1
	"Missouri"	"29"	2062	6173653	33.4
	"Montana"	"30"	182	1103030	16.5
	"Nebraska"	"31"	186	1957895	9.5
	"Nevada"	"32"	865	3145455	27.5
	"New Hampshire"	"33"	415	1387960	29.9
	"New Jersey"	"34"	2956	9266458	31.9
	"New Mexico"	"35"	1002	2118393	47.3
	"New York"	"36"	5613	19833922	28.3
	"North Carolina"	"37"	3879	10569482	36.7
	"North Dakota"	"38"	116	778523	14.9
	"Ohio"	"39"	5229	11777027	44.4
	"Alabama"	"01"	1366	5059259	27
	"Oklahoma"	"40"	897	3986667	22.5
	"Oregon"	"41"	1087	4262745	25.5
	"Pennsylvania"	"42"	5182	13020101	39.8
	"Rhode Island"	"44"	437	1097990	39.8
	"South Carolina"	"45"	2064	5198992	39.7
	"South Dakota"	"46"	88	897959	9.8
	"Tennessee"	"47"	3726	6964486	53.5
	"Texas"	"48"	4688	29484277	15.9
	"Utah"	"49"	587	3335227	17.6
	"Vermont"	"50"	230	647887	35.5
	"Virginia"	"51"	2507	8644828	29
	"Washington"	"53"	2152	7741007	27.8
	"West Virginia"	"54"	1470	1786148	82.3
	"Wisconsin"	"55"	1667	5869718	28.4
	"Wyoming"	"56"	102	579545	17.6
