"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	245	733533	33.4
	"Arizona"	"04"	2486	7355030	33.8
	"Arkansas"	"05"	576	3047619	18.9
	"California"	"06"	10442	39108614	26.7
	"Colorado"	"08"	1641	5839858	28.1
	"Connecticut"	"09"	1420	3613232	39.3
	"Delaware"	"10"	535	1019048	52.5
	"District of Columbia"	"11"	446	670677	66.5
	"Georgia"	"13"	2568	10927660	23.5
	"Hawaii"	"15"	260	1436464	18.1
	"Idaho"	"16"	334	1941860	17.2
	"Illinois"	"17"	3675	12585616	29.2
	"Indiana"	"18"	2580	6825397	37.8
	"Iowa"	"19"	394	3203252	12.3
	"Kansas"	"20"	694	2940678	23.6
	"Kentucky"	"21"	2208	4515337	48.9
	"Louisiana"	"22"	2330	4586614	50.8
	"Maine"	"23"	678	1389344	48.8
	"Maryland"	"24"	2496	6162963	40.5
	"Massachusetts"	"25"	2531	6991713	36.2
	"Michigan"	"26"	2849	10031690	28.4
	"Minnesota"	"27"	1294	5725664	22.6
	"Mississippi"	"28"	729	2939516	24.8
	"Missouri"	"29"	2073	6169643	33.6
	"Montana"	"30"	194	1121387	17.3
	"Nebraska"	"31"	201	1970588	10.2
	"Nevada"	"32"	926	3182131	29.1
	"New Hampshire"	"33"	462	1400000	33
	"New Jersey"	"34"	2888	9256410	31.2
	"New Mexico"	"35"	971	2115468	45.9
	"New York"	"36"	6112	19652733	31.1
	"North Carolina"	"37"	4151	10698454	38.8
	"North Dakota"	"38"	132	781065	16.9
	"Ohio"	"39"	4980	11773050	42.3
	"Oklahoma"	"40"	1158	4020833	28.8
	"Oregon"	"41"	1247	4241497	29.4
	"Pennsylvania"	"42"	4898	12957672	37.8
	"Rhode Island"	"44"	397	1093664	36.3
	"South Carolina"	"45"	2195	5289157	41.5
	"South Dakota"	"46"	86	905263	9.5
	"Tennessee"	"47"	3730	7051040	52.9
	"Texas"	"48"	5175	30087209	17.2
	"Utah"	"49"	535	3386076	15.8
	"Vermont"	"50"	256	646465	39.6
	"Virginia"	"51"	2389	8687273	27.5
	"Washington"	"53"	2580	7794562	33.1
	"West Virginia"	"54"	1299	1774590	73.2
	"Alabama"	"01"	1442	5077465	28.4
	"Florida"	"12"	7157	22226708	32.2
	"Wisconsin"	"55"	1680	5894737	28.5
	"Wyoming"	"56"	115	580808	19.8
