"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	329	732739	44.9
	"Arizona"	"04"	2324	7424920	31.3
	"Arkansas"	"05"	382	3056000	12.5
	"California"	"06"	8593	38882353	22.1
	"Colorado"	"08"	1445	5873984	24.6
	"Connecticut"	"09"	926	3617188	25.6
	"Delaware"	"10"	324	1031847	31.4
	"District of Columbia"	"11"	312	678261	46
	"Florida"	"12"	4620	22647059	20.4
	"Georgia"	"13"	1934	11051429	17.5
	"Hawaii"	"15"	313	1435780	21.8
	"Idaho"	"16"	293	1966443	14.9
	"Illinois"	"17"	2374	12560847	18.9
	"Indiana"	"18"	1627	6864979	23.7
	"Iowa"	"19"	373	3215517	11.6
	"Kansas"	"20"	529	2938889	18
	"Kentucky"	"21"	1435	4526814	31.7
	"Louisiana"	"22"	1428	4576923	31.2
	"Maine"	"23"	452	1395062	32.4
	"Maryland"	"24"	1707	6184783	27.6
	"Massachusetts"	"25"	1503	6990698	21.5
	"Michigan"	"26"	1802	10011111	18
	"Minnesota"	"27"	914	5748428	15.9
	"Mississippi"	"28"	498	2946746	16.9
	"Missouri"	"29"	1358	6200913	21.9
	"Montana"	"30"	143	1134921	12.6
	"Nebraska"	"31"	130	1969697	6.6
	"Nevada"	"32"	1161	3198347	36.3
	"New Hampshire"	"33"	262	1401070	18.7
	"New Jersey"	"34"	1905	9292683	20.5
	"New Mexico"	"35"	733	2112392	34.7
	"New York"	"36"	4238	19529954	21.7
	"North Carolina"	"37"	2661	10817073	24.6
	"North Dakota"	"38"	93	781513	11.9
	"Ohio"	"39"	2994	11787402	25.4
	"Oklahoma"	"40"	967	4046025	23.9
	"Oregon"	"41"	1392	4231003	32.9
	"Pennsylvania"	"42"	3149	12958848	24.3
	"Rhode Island"	"44"	311	1095070	28.4
	"South Carolina"	"45"	1399	5380769	26
	"South Dakota"	"46"	81	920455	8.8
	"Tennessee"	"47"	2402	7127596	33.7
	"Texas"	"48"	4637	30506579	15.2
	"Utah"	"49"	589	3424419	17.2
	"Vermont"	"50"	198	647059	30.6
	"Virginia"	"51"	1440	8727273	16.5
	"Washington"	"53"	2987	7819372	38.2
	"West Virginia"	"54"	808	1771930	45.6
	"Alabama"	"01"	1179	5103896	23.1
	"Wisconsin"	"55"	1070	5911602	18.1
	"Wyoming"	"56"	107	584699	18.3
